round,move
671,Scissors
672,Rock
673,Paper
674,Scissors
675,Rock
676,Rock
677,Scissors
678,Rock
679,Paper
680,Scissors
681,Rock
682,Rock
683,Paper
684,Scissors
685,Rock
686,Paper
687,Scissors
688,Rock
689,Rock
690,Paper
691,Paper
692,Scissors
693,Rock
694,Paper
695,Paper
696,Scissors
697,Rock
698,Scissors
699,Rock
700,Rock
701,Paper
702,Paper
703,Paper
704,Paper
705,Rock
706,Paper
707,Scissors
708,Scissors
709,Scissors
710,Rock
711,Paper
712,Paper
713,Scissors
714,Rock
715,Paper
716,Scissors
717,Rock
718,Scissors
719,Paper
720,Scissors
721,Rock
722,Paper
723,Scissors
724,Scissors
725,Rock
726,Rock
727,Paper
728,Scissors
729,Rock
730,Paper
731,Paper
732,Scissors
733,Rock
734,Paper
735,Scissors
736,Rock
737,Scissors
738,Scissors
739,Rock
740,Paper
741,Paper
742,Paper
743,Paper
744,Scissors
745,Rock
746,Paper
747,Scissors
748,Paper
749,Rock
750,Rock
751,Paper
752,Paper
753,Scissors
754,Scissors
755,Scissors
756,Rock
757,Scissors
758,Rock
759,Rock
760,Paper
761,Scissors
762,Rock
763,Paper
764,Rock
765,Paper
766,Paper
767,Paper
768,Scissors
769,Rock
770,Rock
771,Paper
772,Scissors
773,Paper
774,Paper
775,Rock
776,Paper
777,Paper
778,Scissors
779,Rock
780,Scissors
781,Rock
782,Rock
783,Scissors
784,Rock
785,Paper
786,Scissors
787,Rock
788,Paper
789,Scissors
790,Rock
791,Rock
792,Paper
793,Scissors
794,Rock
795,Rock
796,Paper
797,Scissors
798,Rock
799,Paper
800,Paper
801,Rock
802,Paper
803,Scissors
804,Rock
805,Paper
806,Scissors
807,Rock
808,Paper
809,Paper
810,Scissors
811,Rock
812,Scissors
813,Scissors
814,Scissors
815,Rock
816,Paper
817,Scissors
818,Rock
819,Paper
820,Scissors
821,Scissors
822,Rock
823,Scissors
824,Paper
825,Scissors
826,Rock
827,Scissors
828,Rock
829,Scissors
830,Rock
831,Rock
832,Scissors
833,Rock
834,Scissors
835,Rock
836,Rock
837,Scissors
838,Scissors
839,Rock
840,Paper
841,Paper
842,Scissors
843,Rock
844,Rock
845,Paper
846,Scissors
847,Rock
848,Scissors
849,Rock
850,Scissors
851,Rock
852,Paper
853,Scissors
854,Rock
855,Paper
856,Paper
857,Paper
858,Rock
859,Scissors
860,Paper
861,Scissors
862,Rock
863,Rock
864,Paper
865,Rock
866,Paper
867,Rock
868,Paper
869,Scissors
870,Rock
871,Paper
872,Scissors
873,Rock
874,Rock
875,Paper
876,Paper
877,Scissors
878,Rock
879,Paper
880,Paper
881,Scissors
882,Rock
883,Paper
884,Scissors
885,Rock
886,Paper
887,Scissors
888,Rock
889,Scissors
890,Scissors
891,Rock
892,Scissors
893,Rock
894,Paper
895,Paper
896,Scissors
897,Scissors
898,Rock
899,Paper
900,Paper
901,Paper
902,Scissors
903,Rock
904,Scissors
905,Rock
906,Rock
907,Scissors
908,Paper
909,Scissors
910,Scissors
911,Paper
912,Scissors
913,Scissors
914,Paper
915,Paper
916,Scissors
917,Rock
918,Rock
919,Paper
920,Scissors
921,Paper
922,Scissors
923,Rock
924,Rock
925,Paper
926,Rock
927,Paper
928,Rock
929,Paper
930,Paper
931,Scissors
932,Rock
933,Paper
934,Paper
935,Scissors
936,Scissors
937,Rock
938,Paper
939,Paper
940,Paper
941,Scissors
942,Scissors
943,Scissors
944,Rock
945,Scissors
946,Scissors
947,Rock
948,Rock
949,Paper
950,Paper
951,Scissors
952,Rock
953,Paper
954,Scissors
955,Rock
956,Rock
957,Paper
958,Paper
959,Paper
960,Paper
961,Scissors
962,Rock
963,Paper
964,Scissors
965,Rock
966,Paper
967,Scissors
968,Rock
969,Scissors
970,Rock
971,Paper
972,Scissors
973,Rock
974,Paper
975,Scissors
976,Rock
977,Rock
978,Rock
979,Rock
980,Scissors
981,Rock
982,Paper
983,Scissors
984,Rock
985,Paper
986,Scissors
987,Rock
988,Paper
989,Scissors
990,Paper
991,Scissors
992,Rock
993,Scissors
994,Rock
995,Scissors
996,Rock
997,Paper
998,Paper
999,Scissors
1000,Rock
